Andh,ra Pradesh,""
2 . REBALA DASARATHA RAMA REDDY,M NCO 65378,19.90%
3 . GUJJULA YALAMANDA REDDY,M CPI 49085,14.94%
4 . KONDREDDY VOBULA REDDY,M IND 8956,2.73%
5 . IBUKUMATI CHINAKONDAIAH,M IND 4559,1.39%
6 . KONURI KANNAIAH,M IND 3255,0.99%
7 . SURA SUBBARAYUDDU,M IND 838,0.26%
ELECTORS : 596790 VOTERS  : 335095,POLL PERCENTAGE  : 56.15%  VALID VOTES ,: 328563
Constituency  : 19 . NELLORE (SC),"",""
1 . DODDAV ARAPUKAMAKSHIAH,M INC 235658,66.18%
2 . BANGAPULAKSHMAN,M BJS 61724,17.33%
3 . SWARNA VEMAYYA,M CPI 34266,9.62%
4 . MANGALAGIRINANDAS,M IND 8804,2.47%
5 . E. V. CHINNAIAH,M MLP 7828,2.20%
6 . VALLAMPENCHALAIAH,M IND 4476,1.26%
7 . DASINARASIMHAN,M IND 3315,0.93%
ELECTORS : 596687 VOTERS  : 364197,POLL PERCENTAGE  : 61.04%  VALID VOTES ,: 356071
Constituency  : 20 . TIRUPATHI (SC),"",""
1 . BALAKRISHNAIAH THAMBURU,M INC 231262,75.08%
2 . C. V. SIDDAIAHMURTHY,M SWA 76753,24.92%
ELECTORS : 576646 VOTERS  : 316437,POLL PERCENTAGE  : 54.88%  VALID VOTES ,: 308015
Constituency  : 21 . CHITTOOR,"",""
1 . P. NARASIMHA REDDY,M INC 245052,67.81%
2 . K. P. CHENGALRAYA NAIDU,M NCO 116313,32.19%
ELECTORS : 541516 VOTERS  : 374038,POLL PERCENTAGE  : 69.07%  VALID VOTES ,: 361365
Constituency  : 22 . RAJAMPET,"",""
1 . PARTHASARATHI POTHURAJU,M INC 243603,72.97%
2 . YESODA REDDY,M NCO 65735,19.69%
3 . NAGESESHAGIRI RAO,M IND 12467,3.73%
4 . CHINTHALA KRISHNAPPA,M IND 12028,3.60%
ELECTORS : 549202 VOTERS  : 342401,POLL PERCENTAGE  : 62.35%  VALID VOTES ,: 333833
Constituency  : 23 . CUDDAPAH,"",""
1 . YIESWARA REDDY,M CPI 200713,60.26%
2 . VUTUKURU RAMI REDDY,M NCO 107099,32.16%
3 . BALIREDDY LINGALA,M MLP 17353,5.21%
4 . G. RAMA SASTRY,M IND 2168,0.65%
5 . MAHAMMAD BAIG,M IND 2085,0.63%
6 . THIRUMALLA KODANDARAMAIAH,M IND 1916,0.58%
7 . POONDLA ANANDA SAMUEL,M IND 1734,0.52%
ELECTORS : 577026 VOTERS  : 339165,POLL PERCENTAGE  : 58.78%  VALID VOTES ,: 333068
Constituency  : 24 . HINDUPUR,"",""
1 . P. BAYAPA REDDY,M INC 198127,69.65%
rptDetailedResults - 4 of  95,111,""


Andh,ra Pradesh,""
2 . P. RAVINDRA REDDY,M NCO 74117,26.05%
3 . D. K. LAKSHMINARAYANA GUPTA,M IND 5205,1.83%
4 . C. MOHAMEDALI,M IND 4029,1.42%
5 . A. THIPPAIAH,M IND 1540,0.54%
6 . T. NAGAPPA,M IND 1458,0.51%
ELECTORS : 530692 VOTERS  : 291271,POLL PERCENTAGE  : 54.89%  VALID VOTES ,: 284476
Constituency  : 25 . ANANTAPUR,"",""
1 . ANTONY REDDI PONNAPATI,M INC 200701,62.68%
2 . NEELAM SANJEEVA REDDY,M NCO 111644,34.87%
3 . VEDANTHAM LAKSHMAIAH,M IND 7859,2.45%
ELECTORS : 548876 VOTERS  : 328632,POLL PERCENTAGE  : 59.87%  VALID VOTES ,: 320204
Constituency  : 26 . KURNOOL,"",""
1 . KODANDA RAMI REDDY,M INC 270697,87.15%
2 . Y. GADIINGANA GOWDU,M SWA 29344,9.45%
3 . K. V. RANGANATHAN,M IND 4234,1.36%
4 . N. MAMMANTHA REDDY,M IND 2751,0.89%
5 . ISAAC,M IND 2065,0.66%
6 . K. M. ANSARI,M IND 989,0.32%
7 . SIVALINGANA GOWDA,M IND 546,0.18%
ELECTORS : 540978 VOTERS  : 317429,POLL PERCENTAGE  : 58.68%  VALID VOTES ,: 310626
Constituency  : 27 . NANDYAL,"",""
1 . RENDEKANTI VENKATA SUBBAIAH,M INC 225740,66.18%
2 . KANALA ANKI REDDY,M NCO 95284,27.94%
3 . SABBASANI MALLA REDDY,M IND 15337,4.50%
4 . BONTHA PULLA REDDY,M IND 4716,1.38%
ELECTORS : 589874 VOTERS  : 348303,POLL PERCENTAGE  : 59.05%  VALID VOTES ,: 341077
Constituency  : 28 . NAGARKURNOOL (SC),"",""
1 . M. BHEESHMADEV,M TPS 149781,56.51%
2 . P. MAHENDRANATH,M INC 104381,39.38%
3 . D. KIRAN KUMAN,M TEC 5893,2.22%
4 . K. R. VEERASWAMY,M IND 5009,1.89%
ELECTORS : 522004 VOTERS  : 274515,POLL PERCENTAGE  : 52.59%  VALID VOTES ,: 265064
Constituency  : 29 . MAHBUBNAGAR,"",""
1 . J. RAMESHWAR RAO,M TPS 127949,48.35%
2 . D. K. SATYA REDDY,M INC 110459,41.74%
3 . RAJESHWAR RAO,M IND 21714,8.21%
4 . PANDA RANGA RAO ALIAS MOHAN RAO,M IND 4502,1.70%
ELECTORS : 560682 VOTERS  : 275093,POLL PERCENTAGE  : 49.06%  VALID VOTES ,: 264624
Constituency  : 30 . HYDERABAD,"",""
1 . G. S. MELKOTE,M TPS 134941,57.27%
2 . BADR-UD-DINTYABJI,M IND 85529,36.30%
rptDetailedResults - 5 of  95,112,""


Andh,ra Pradesh,""
3 . RAYASAM VENKAT RAO,M IND 4324,1.84%
4 . MOHD. MAHZARUDDIN,M MLP 3126,1.33%
5 . MIR FAIZ ALI SHAHEEN,M IND 3000,1.27%
6 . CAPT MOHD. ZAHIRUZZAMAN ANSARI,M TEC 2516,1.07%
7 . ABDUL MAJEED KHAN,M IND 1180,0.50%
8 . S. B. SHAH ALI,M RPK 1008,0.43%
ELECTORS : 491227 VOTERS  : 242830,POLL PERCENTAGE  : 49.43%  VALID VOTES ,: 235624
Constituency  : 31 . SECUNDERABAD,"",""
1 . M. M. HASHIM,M TPS 98620,45.49%
2 . K. L. NARAYAN,M INC 74977,34.58%
3 . BADRIVISHAL PITTI,M SSP 27823,12.83%
4 . P. V. RANGA RAO,M IND 2277,1.05%
5 . T. N. SADALAKSHMI,M TEC 2032,0.94%
6 . V. RAMACHANDRA RAO,M IND 1982,0.91%
7 . T. D. GOWRI SHANKER,M IND 1981,0.91%
8 . BAKAR ALI MIRZA,M IND 1456,0.67%
9 . C. YELLAPPA,M IND 1076,0.50%
10 . OSMAN BIN SALEH,M IND 859,0.40%
11 . B. S. RATNAKAR,M IND 791,0.36%
12 . T. K. KOTHANDRAM,M IND 761,0.35%
13 . N. R. JOGA ROW,M IND 697,0.32%
14 . N. DASRATHJEE,M IND 598,0.28%
15 . PANDIT RAJA RAM,M RRP 536,0.25%
16 . K. SESHA CHARY,M IND 346,0.16%
ELECTORS : 513349 VOTERS  : 221915,POLL PERCENTAGE  : 43.23%  VALID VOTES ,: 216812
Constituency  : 32 . SIDDIPET (SC),"",""
1 . G. VENKAT SWAMY,M TPS 169436,65.08%
2 . A. R. DEVRAJ,M CPI 79851,30.67%
3 . MANDA SAILU,M TEC 11071,4.25%
ELECTORS : 510097 VOTERS  : 267587,POLL PERCENTAGE  : 52.46%  VALID VOTES ,: 260358
Constituency  : 33 . MEDAK,"",""
1 . MALLIKARJUN,M TPS 152975,58.62%
2 . NARSIMHA REDDY,M INC 99544,38.14%
3 . LINGAIAH KATIPALLY,M IND 8455,3.24%
ELECTORS : 536747 VOTERS  : 269393,POLL PERCENTAGE  : 50.19%  VALID VOTES ,: 260974
Constituency  : 34 . NIZAMABAD,"",""
1 . RAM GOPAL REDDY M.,M INC 155323,51.73%
2 . ANANTH REDDY K.,M TPS 95586,31.83%
3 . MURLI MANOHAR REDDY (GADDAM),M BJS 21491,7.16%
4 . BHEEM RAO PATNE,M IND 18014,6.00%
5 . RAJESHWAR A.,M TEC 9862,3.28%
ELECTORS : 556666 VOTERS  : 313584,POLL PERCENTAGE  : 56.33%  VALID VOTES ,: 300276
rptDetailedResults - 6 of  95,113,""


Andh,ra Pradesh,""
Constituency  : 35 . ADILABAD,"",""
1 . P. GANGA REDDY,M INC 151482,52.60%
2 . K. V. KISHAN RAO,M TPS 136532,47.40%
ELECTORS : 514876 VOTERS  : 303280,POLL PERCENTAGE  : 58.90%  VALID VOTES ,: 288014
Constituency  : 36 . PEDDAPALLI (SC),"",""
1 . V. TULASIRAM,M TPS 165054,66.45%
2 . M. R. KRISHNA,M INC 56323,22.68%
3 . ELUGANDALA DURGAIAH,M SSP 13030,5.25%
4 . B. DEVAIAH,M IND 9688,3.90%
5 . M. J. MANIK RAO,M IND 4277,1.72%
ELECTORS : 528948 VOTERS  : 255637,POLL PERCENTAGE  : 48.33%  VALID VOTES ,: 248372
Constituency  : 37 . KARIMNAGAR,"",""
1 . M. SATYANARAYAN RAO,M TPS 119869,47.19%
2 . V. JALAPATHI RAO,M INC 109848,43.25%
3 . A. RAJA PRABHAKAR REDDY,M IND 17341,6.83%
4 . GOVARDHAN YADAV,M BCM 6929,2.73%
ELECTORS : 548849 VOTERS  : 263288,POLL PERCENTAGE  : 47.97%  VALID VOTES ,: 253987
Constituency  : 38 . WARANGAL,"",""
1 . S. B. GIRI,M TPS 182258,55.62%
2 . K. SUDARSANA REDDY,M INC 88618,27.04%
3 . BHANDARU SADASHIVA RAO,M BJS 33139,10.11%
4 . CHAGANTI SHANKAR RAO,M IND 13990,4.27%
5 . THOKALA LAKSHMA REDDY,M IND 9672,2.95%
ELECTORS : 553696 VOTERS  : 337683,POLL PERCENTAGE  : 60.99%  VALID VOTES ,: 327677
Constituency  : 39 . KHAMMAM,"",""
1 . T. LAKSHMI KANTAMMA,M INC 137830,36.94%
2 . CHEKURI KASAIAH,M TPS 121369,32.53%
3 . MANCHIKANTI RAM KISHAN RAO,M CPM 92012,24.66%
4 . KAMA JOHN,M IND 12333,3.31%
5 . KANNEKANTI SREENIVAS RAO,M TEC 5313,1.42%
6 . GOGINENI SATYANARAYANA RAO,M NCO 4246,1.14%
ELECTORS : 544329 VOTERS  : 381802,POLL PERCENTAGE  : 70.14%  VALID VOTES ,: 373103
Constituency  : 40 . NALGONDA,"",""
1 . KANCHERLA RAM KRISHNA REDDY,M TPS 111704,35.53%
2 . VEDIRE NARSIMHA REDDY,M INC 106306,33.81%
3 . B. DHARMA BIKSHAM,M CPI 78047,24.82%
4 . UPPUNOOTHULA MALLESHAM,M IND 7795,2.48%
5 . CHEERA BENKATESHWAR RAO YADAV,M TEC 6861,2.18%
6 . SAYINI SREESAILAM,M IND 3687,1.17%
ELECTORS : 544193 VOTERS  : 323022,POLL PERCENTAGE  : 59.36%  VALID VOTES ,: 314400
rptDetailedResults - 7 of  95,114,""


Andh,ra Pradesh,""
Constituency  : 41 . MIRYALGUDA,"",""
1 . BHIMREDDY NARSIMHA REDDY,M CPM 115199,34.78%
2 . KEESARA JITHENDER REDDY,M TPS 107515,32.46%
3 . G. S. REDDY,M INC 88400,26.69%
4 . P. PRASANGI,M IND 15671,4.73%
5 . KAKILAKSHMI REDDY,M IND 4414,1.33%
ELECTORS : 532803 VOTERS  : 338486,POLL PERCENTAGE  : 63.53%  VALID VOTES ,: 331199
"",Assam,""
Constituency  : 1 . CACHAR,"",""
1 . JYOTSNA CHANDA,M INC 100798,50.54%
2 . A. F. GOLAM OSMANI,M IND 37794,18.95%
3 . H. K. BAWICHHUAKA,M IND 24665,12.37%
4 . ZAIREMA,M IND 13972,7.01%
5 . NANDA KISHOR SINHA,M NCO 9350,4.69%
6 . J. F. MANLIANA,M IND 5300,2.66%
7 . THANGRIDEMA,M PSP 3940,1.98%
8 . SAPCHHUNGA,M IND 3619,1.81%
ELECTORS : 495827 VOTERS  : 205486,POLL PERCENTAGE  : 41.44%  VALID VOTES ,: 199438
Constituency  : 2 . KARIMGANJ (SC),"",""
1 . NIHAR RANJAN LASKAR,M INC 149328,73.36%
2 . HARINARAYAN RABIDAS,M CPM 27582,13.55%
3 . GOPESH NAMASUDRA,M IND 13809,6.78%
4 . RADHA KANTA TANTI,M SUC 6496,3.19%
5 . JOGENDRA CHANDRA SIRKAR,M NCO 6343,3.12%
ELECTORS : 497720 VOTERS  : 210476,POLL PERCENTAGE  : 42.29%  VALID VOTES ,: 203558
Constituency  : 3 . AUTONOMOUS DISTRIC,TS (ST),""
1 . G. G. SWELL,M AHL 90772,51.24%
2 . HOPINGSTONE LYNGDOH,M IND 59228,33.44%
3 . BAPURAM SINGNAR,M IND 27140,15.32%
ELECTORS : 418700 VOTERS  : 183301,POLL PERCENTAGE  : 43.78%  VALID VOTES ,: 177140
Constituency  : 4 . DHUBRI,"",""
1 . MOINUL HAQUE CHOWDHURY,M INC 180226,69.11%
2 . JAHAN UDDIN AHMED,M PSP 30478,11.69%
3 . TARACHARAN MAZUMDER,M RSP 28362,10.88%
4 . JANATHON SANGMA,M IND 7075,2.71%
5 . DEWAN JOYNAL ABEDIN,M SUC 6876,2.64%
6 . NAZRUL ISLAM,M NCO 5185,1.99%
7 . BIMAL PRASAD HARLALKA,M IND 2561,0.98%
ELECTORS : 434342 VOTERS  : 274329,POLL PERCENTAGE  : 63.16%  VALID VOTES ,: 260763
Constituency  : 5 . KOKRAJHAR (ST),"",""
1 . DHARANIDHAR BASUMATARY,M INC 150987,58.30%
rptDetailedResults - 8 of  95,115,""


"",Assam,""
2 . SAMAR BRAHMA CHOUDHURY,M IND 93301,36.02%
3 . AMIYA KUMAR BRAHMA,M NCO 14710,5.68%
ELECTORS : 469738 VOTERS  : 274983,POLL PERCENTAGE  : 58.54%  VALID VOTES ,: 258998
Constituency  : 6 . BARPETA,"",""
1 . FAKHRUDDIN ALI AHMED,M INC 210662,72.74%
2 . KHANINDRA CHANDRA BARUA,M BJS 74542,25.74%
3 . JOGEN BARMAN,M IND 4414,1.52%
ELECTORS : 467766 VOTERS  : 298728,POLL PERCENTAGE  : 63.86%  VALID VOTES ,: 289618
Constituency  : 7 . GAUHATI,"",""
1 . DINESH CHANDRA GOSWAMI,M INC 140483,63.51%
2 . DHIRESWAR KALITA,M CPI 44482,20.11%
3 . NANDESWAR TALUKDAR,M CPM 15190,6.87%
4 . RAMESH CHANDRA CHOWDHURY,M NCO 12002,5.43%
5 . PROF. ACHYUT THAKURIA,M IND 4913,2.22%
6 . AKHIL RANJAN DAS GUPTA,M IND 4121,1.86%
ELECTORS : 429982 VOTERS  : 231908,POLL PERCENTAGE  : 53.93%  VALID VOTES ,: 221191
Constituency  : 8 . MANGALDAI,"",""
1 . DHARANI DHAR DAS,M INC 90058,49.61%
2 . HEM BARUA,M PSP 50485,27.81%
3 . BHUPEN HAZARIKA,M IND 12230,6.74%
4 . BINOY KUMAR BASUMATARI,M IND 10810,5.95%
5 . SIBA PRASAD SARMA,M NCO 7719,4.25%
6 . MADHAB CHANDRA BARUA,M IND 6818,3.76%
7 . HABIBUR RAHMAN CHOWDHURY,M SSP 3424,1.89%
ELECTORS : 470149 VOTERS  : 189652,POLL PERCENTAGE  : 40.34%  VALID VOTES ,: 181544
Constituency  : 9 . TEZPUR,"",""
1 . KAMALA PRASAD AGARWALA,M INC 133673,60.82%
2 . FRANCIS HANS,M IND 36223,16.48%
3 . PURNA NARAYAN SINHA,M PSP 33227,15.12%
4 . CHANDRA SEKHAR BORA,M IND 16664,7.58%
ELECTORS : 427600 VOTERS  : 238135,POLL PERCENTAGE  : 55.69%  VALID VOTES ,: 219787
Constituency  : 10 . NOWGONG,"",""
1 . LILADHAR KOTOKI,M INC 132209,58.11%
2 . PHANI BORA,M CPI 49392,21.71%
3 . BANESWAR SAIKIA,M RCI 32619,14.34%
4 . PURNA CHANDRA SARMA,M NCO 4885,2.15%
5 . SAHABUDDIN AHMED,M IND 4580,2.01%
6 . LAL MOHAMMAD,M SSP 2453,1.08%
7 . SALAMUDDIN AHMAD,M IND 1384,0.61%
ELECTORS : 432645 VOTERS  : 238326,POLL PERCENTAGE  : 55.09%  VALID VOTES ,: 227522
Constituency  : 11 . KALIABOR,"",""
rptDetailedResults - 9 of  95,116,""


"",Assam,""
1 . BEDABRATA BARUA,M INC 128268,65.75%
2 . JADU NATH SAIKIA,M CPI 27580,14.14%
3 . KIRON BEZABARUAH,M SSP 18865,9.67%
4 . MOHAN LAL JALAN,M NCO 10787,5.53%
5 . EMRAN HUSSAIN CHOUDHURY,M IND 9599,4.92%
ELECTORS : 430809 VOTERS  : 205287,POLL PERCENTAGE  : 47.65%  VALID VOTES ,: 195099
Constituency  : 12 . JORHAT,"",""
1 . TARUN GOGOI,M INC 102820,55.27%
2 . KHOGEN BAR BARUAH,M RCI 31810,17.10%
3 . MAHES CHANDRA BARUA,M PSP 19798,10.64%
4 . HEMEN BAROOAH,M IND 16011,8.61%
5 . SURYYA KAMAL SHUKON,M IND 12131,6.52%
6 . BEGUM MAFIDA AHMED,M NCO 3453,1.86%
ELECTORS : 425987 VOTERS  : 194353,POLL PERCENTAGE  : 45.62%  VALID VOTES ,: 186023
Constituency  : 13 . LAKHIMPUR,"",""
1 . BISWANARAYAN SHASTRI,M INC 89070,42.71%
2 . KHAGENDRA NATH SAIKIA,M IND 45358,21.75%
3 . BIRASON DOLEY,M IND 28023,13.44%
4 . BHOGESWAR DUTTA,M CPI 24611,11.80%
5 . P. M. SARWAN,M IND 14458,6.93%
6 . PADMA BIKASH BORGOHAIN,M SWA 7033,3.37%
ELECTORS : 444779 VOTERS  : 220051,POLL PERCENTAGE  : 49.47%  VALID VOTES ,: 208553
Constituency  : 14 . DIBRUGARH,"",""
1 . ROBINDRA NATH KAKOTY,M INC 115921,58.75%
2 . BARIN CHOWDHURY,M CPI 24913,12.63%
3 . NIBARAN CHANDRA BORA,M SSP 16543,8.38%
4 . JOGENDRA NATH HAZARIKA,M NCO 13721,6.95%
5 . LUCY GOGOI,M IND 11010,5.58%
6 . DURGA DUTT LOHIA,M IND 9005,4.56%
7 . KUSHA DUTT,M IND 3220,1.63%
8 . RAJEN BAROOAH,M IND 2973,1.51%
ELECTORS : 422229 VOTERS  : 212155,POLL PERCENTAGE  : 50.25%  VALID VOTES ,: 197306
"",Bihar,""
Constituency  : 1 . BAGAHA (SC),"",""
1 . BHOLA RAUT,M INC 139634,70.99%
2 . KANCHANBAITHA,M BJS 47995,24.40%
3 . BHOLA RAM TOOFANI,M PSP 6561,3.34%
4 . RAMAYAN HAZRA,M IND 1691,0.86%
5 . LAXMI PRASAD,M BKD 809,0.41%
ELECTORS : 544044 VOTERS  : 200220,POLL PERCENTAGE  : 36.80%  VALID VOTES ,: 196690
Constituency  : 2 . MOTIHARI,"",""
rptDetailedResults - 10 of  95,117,""


"",Bihar,""
1 . BIBHUTI MISHRA,M INC 155863,68.12%
2 . HARISHANKER SHARMA,M BJS 25957,11.34%
3 . BIPIN BIHARI VERMA,M NCO 24661,10.78%
4 . BASAWAN SINGH,M PSP 21413,9.36%
5 . JAMALUDDIN KHAN,M IND 912,0.40%
ELECTORS : 540484 VOTERS  : 233205,POLL PERCENTAGE  : 43.15%  VALID VOTES ,: 228806
Constituency  : 3 . BETTIAH,"",""
1 . KAMAL NATH TIWARI,M INC 145965,72.71%
2 . RANVIJAI SAHI,M IND 35588,17.73%
3 . AMBIKA PRASAD SINGH,M SSP 16121,8.03%
4 . FAIAZUL AZAM,M IND 3089,1.54%
ELECTORS : 549914 VOTERS  : 204520,POLL PERCENTAGE  : 37.19%  VALID VOTES ,: 200763
Constituency  : 4 . GOPALGANJ,"",""
1 . DWARIKA NATH TIWARY,M INC 191101,61.61%
2 . SABHA PATI SINGH,M SSP 110555,35.64%
3 . BADRI NARAIN,M IND 2390,0.77%
4 . M. N. AHMAD GANI,M NCO 2113,0.68%
