ANDHRA PRADESH,"","","","",""
10 . SIVANATHA REDDY CHADIPIRALLA,M 37,GEN NTRTDP(LP),759,0,759
12 . C.GOPI NARASIMHA REDDY,M 28,GEN IND,745,1,746
9 . G.RAVINDRANATHA REDDY,M 53,GEN JP,731,0,731
11 . O.SUBBA REDDY,M 53,GEN ABJS,649,0,649
6 . PECHARA VENKATESHWAR RAO,M 36,GEN TRS,617,0,617
8 . N BHASKARA REDDY,M 48,GEN PP,485,0,485
"",TOTAL:,"",814047,5154,819201
Constituency  : 24 . HINDUPUR,"","","","",""
1 . NIZAMODDIN,M 50,GEN INC,417870,1874,419744
2 . B.K.PARDHASARATHI,M 45,GEN TDP,417131,773,417904
3 . B. SURENDER KUMAR,M 31,GEN TRS,16905,2,16907
4 . SMT DESAI REDDY PRABHAVATHI,F 40,GEN IND,13500,8,13508
"",TOTAL:,"",865406,2657,868063


ANDHRA PRADESH,"","","","",""
Constituency  : 25 . ANANTAPUR,"","","","",""
1 . ANANTHA VENKATA RAMI REDDY,M 47,GEN INC,456967,1958,458925
2 . KALAVA SRINIVASULU,M 39,GEN TDP,385074,447,385521
3 . GADDALA NAGABHUSHANAM,M 41,SC BSP,9291,5,9296
7 . YATHAM POTHALAIAH,M 32,GEN IND,7102,0,7102
5 . K. VENKATESULU,M 34,GEN PPOI,6227,5,6232
4 . A. JAGAN MOHAN RAO,M 32,GEN TRS,4419,0,4419
6 . B. S. AMARNATH,M 42,GEN IND,3638,2,3640
"",TOTAL:,"",872718,2417,875135
Constituency  : 26 . KURNOOL,"","","","",""
2 . KOTLA JAYASURYA PRAKASHA REDDY,M 52,GEN INC,433121,408,433529
1 . KAMBALAPADU EDIGA KRISHNAMURTHI,M 65,GEN TDP,332350,81,332431
9 . JAMES,M 39,SC IND,17410,0,17410
3 . REDDIPOGU DAVID,M 47,GEN BSP,12514,1,12515
10 . T. SESHAPHANI,M 34,GEN IND,8899,0,8899
4 . DR. PARAMESHWAR REDDY,M 36,GEN PPOI,3721,1,3722
