Year,State,Constituency,State_Code,Constituency_Number,Category,Candidates_Nominated_Men,Candidates_Nominated_Women,Candidates_Nominated_Others,Candidates_Nominated_Total,Nominations_Rejected_Men,Nominations_Rejected_Women,Nominations_Rejected_Others,Nominations_Rejected_Total,Candidates_Withdrawn_Men,Candidates_Withdrawn_Women,Candidates_Withdrawn_Others,Candidates_Withdrawn_Total,Contested_Men,Contested_Women,Contested_Others,Contested_Total,Forfeited_Men,Forfeited_Women,Forfeited_Others,Forfeited_Total,General_Electors_Men,General_Electors_Women,General_Electors_Others,General_Electors_Total,Overseas_Electors_Men,Overseas_Electors_Women,Overseas_Electors_Others,Overseas_Electors_Total,Service_Electors_Men,Service_Electors_Women,Service_Electors_Others,Service_Electors_Total,Total_Electors_Men,Total_Electors_Women,Total_Electors_Others,Total_Electors,General_Voters_Men,General_Voters_Women,General_Voters_Others,General_Voters_Total,Overseas_Voters_Men,Overseas_Voters_Women,Overseas_Electors_Others,Overseas_Voters_Total,Proxy_Voters,Postal_Voters_Men,Postal_Voters_Women,Postal_Voters_Total,Total_Voters_Men,Total_Voters_Women,Total_Voters,Total Votes Polled,Rejected_Votes,Votes Rejected Due To Other Reason,% of Votes Rejected,Rejected_Votes_Postal,Polling_Percentage_Men,Polling_Percentage_Women,Polling_Percentage_Total,Votes Not Retrieved From EVM,TOTAL VOTES POLLED ON EVM,TOTAL DEDUCTED VOTES FROM EVM,TOTAL VALID VOTES POLLED ON EVM,POSTAL VOTES COUNTED,POSTAL VOTES DEDUCTED,VALID POSTAL VOTES,Valid Votes,Total_Valid_Votes_Polled,TEST VOTES POLLED ON EVM,VOTES POLLED FOR NOTA,Missing_Votes,Ballot_Paper_Set_Apart,Tendered_Votes,Polling_Stations,Avg_Per_Polling_Station,Re-Poll_Stations
2014,, Amalapuram,S01,24,,17,1,0,18,3,0,0,3,1,0,0,1,13,1,0,14,11,1,0,12,682359,675065,51,1357475,0,0,0,0,247,143,,390,682606,675208,51,1357865,565013,548900,1,1113914,0,0,0,0,0,,,8072,,,1121986,,,0,,,,,82.63,,1113914,5992,1107922,8072,1208,6864,,1114786,0,6141,,, 3 ,1500,905,0
2014,, Rajahmundry,S01,25,,15,1,0,16,1,0,0,1,0,1,0,1,14,0,0,14,12,0,0,12,706827,713867,103,1420797,0,0,0,0,325,154,,479,707152,714021,103,1421276,575432,574132,11,1149575,0,0,0,0,0,,,7051,,,1156626,,,0,,,,,81.38,,1149575,7973,1141602,7051,1728,5323,,1146925,0,7456,,, 0 ,1439,988,0
2014,, Narsapuram,S01,26,,15,4,0,19,2,1,0,3,1,1,0,2,12,2,0,14,10,2,0,12,652153,672101,126,1324380,0,0,0,0,445,203,,648,652598,672304,126,1325028,536507,546670,0,1083177,0,0,0,0,0,,,5925,,,1089102,,,0,,,,,82.19,,1083177,7900,1075277,5925,259,5666,,1080943,0,8004,,, 0 ,1373,965,0
2014,, Eluru,S01,27,,13,5,0,18,0,1,0,1,1,1,0,2,12,3,0,15,10,3,0,13,706622,720604,74,1427300,0,0,0,0,330,134,,464,706952,720738,74,1427764,600526,594189,5,1194720,0,0,0,0,0,,,8516,,,1203236,,,0,,,,,84.27,,1194720,7479,1187241,8516,1604,6912,,1194153,0,7544,,, 0 ,1544,925,0
2014,, Machilipatnam,S01,28,,12,2,0,14,1,1,0,2,0,1,0,1,11,0,0,11,9,0,0,9,675462,693273,105,1368840,0,0,0,0,321,150,,471,675783,693423,105,1369311,564406,569695,3,1134104,0,0,0,0,0,,,8944,,,1143048,,,0,,,,,83.48,,1134104,8837,1125267,8944,1317,7627,,1132894,0,8171,,, 1 ,1538,890,2
2014,, Vijayawada,S01,29,,27,4,0,31,3,1,0,4,4,1,0,5,20,2,0,22,18,2,0,20,781014,783090,165,1564269,2,0,0,2,163,79,,242,781179,783169,165,1564513,599506,589998,10,1189514,0,0,0,0,0,,,9471,,,1198985,,,0,,,,,76.64,,1189514,6300,1183214,9471,2214,7257,,1190471,0,5294,,, 1 ,1561,1002,1
2014,, Guntur,S01,30,,20,2,0,22,6,0,0,6,2,2,0,4,12,0,0,12,10,0,0,10,771435,798167,176,1569778,1,0,0,1,1601,637,,2238,773037,798804,176,1572017,613894,623668,17,1237579,0,0,0,0,0,,,9196,,,1246775,,,0,,,,,79.31,,1237579,7530,1230049,9196,1915,7281,,1237330,0,7596,,, 0 ,1594,986,0
2014,, Narasaraopet,S01,31,,12,1,0,13,2,0,0,2,0,0,0,0,10,1,0,11,8,1,0,9,747837,766059,125,1514021,0,0,0,0,637,203,,840,748474,766262,125,1514861,635270,640887,0,1276157,0,0,0,0,0,,,6674,,,1282831,,,0,,,,,84.68,,1276157,5943,1270214,6674,815,5859,,1276073,0,5985,,, 0 ,1633,928,0
2014,, Bapatla,S01,32,,16,2,0,18,2,0,0,2,1,1,0,2,13,1,0,14,11,1,0,12,683097,705031,117,1388245,0,0,0,0,3397,1322,,4719,686494,706353,117,1392964,583921,594010,1,1177932,0,0,0,0,0,,,8318,,,1186250,,,0,,,,,85.16,,1177932,6052,1171880,8318,1710,6608,,1178488,0,6146,,, 0 ,1587,878,0
2014,, Ongole,S01,33,,19,1,0,20,2,0,0,2,2,1,0,3,15,0,0,15,13,0,0,13,731401,731949,105,1463455,0,0,0,0,4815,1942,,6757,736216,733891,105,1470212,597957,599889,9,1197855,0,0,0,0,0,,,11049,,,1208904,,,0,,,,,82.23,,1197855,5764,1192091,11049,696,10353,,1202444,0,5781,,, 0 ,1707,861,0
